MINISTERUL AFACERILOR INTERNE,,,,,,,,TOTAL,,,,,,,
DIRECTIA REGIM PERMISE DE CONDUCERE SI INMATRICULARE A VEHICULELOR,,,,,,,,,,,,,,,
PARC AUTO LA 31.12.2020,,,,,,,,,,,,,,,
CATEGORIA,Numar,Vechime (ani),,,,,,Carburant,,,,Vechime (ani),,,
,,0--2,3--5,6--10,11--15,16--20,>20,Benzina,Motorina,Electric,Hibrid01(benzina+electric),0--4,5--8,9--12,peste 12
,,,,,,,,,,,Hibrid02(motorina+electric),,,,
,,,,,,,,,,,Hibrid03(GPL+electric),,,,
   model FORMULA R,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model GTR,8,0,0,6,1,1,0,8,0,0,0,0,0,6,2
   model HUSSAR,2,0,0,0,1,1,0,2,0,0,0,0,0,0,2
   model KL50C,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model OLIVER CITY,10,0,0,0,5,5,0,10,0,0,0,0,0,0,10
   model POPCORN,3,0,0,0,0,3,0,3,0,0,0,0,0,0,3
   model SMA1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model nespecificat,4,0,0,0,0,3,1,4,0,0,0,0,0,0,4
 total marca DAELIM,11,0,0,0,3,8,0,11,0,0,0,0,0,0,11
   model MESSAGE MSG50,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model S-FIVE,4,0,0,0,3,1,0,4,0,0,0,0,0,0,4
   model nespecificat,6,0,0,0,0,6,0,6,0,0,0,0,0,0,6
 total marca DAYANG,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model nespecificat,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
 total marca DAYUN-DHS,13,0,0,3,10,0,0,13,0,0,0,0,3,8,2
   model CABRIO FC50QT,11,0,0,1,10,0,0,11,0,0,0,0,1,8,2
   model nespecificat,2,0,0,2,0,0,0,2,0,0,0,0,2,0,0
 total marca DERBI,20,0,0,3,5,6,6,20,0,0,0,0,1,4,15
   model ATLANTIS 50E2,2,0,0,0,1,1,0,2,0,0,0,0,0,0,2
   model BOULEVARD TWO 50,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
   model GP1 50,3,0,0,0,2,1,0,3,0,0,0,0,0,0,3
   model SENDA SM,2,0,0,0,1,1,0,2,0,0,0,0,0,1,1
   model nespecificat,12,0,0,3,0,3,6,12,0,0,0,0,1,2,9
 total marca DIRECT BIKES,2,0,0,1,1,0,0,2,0,0,0,0,0,2,0
   model nespecificat,2,0,0,1,1,0,0,2,0,0,0,0,0,2,0
 total marca EXPLORER,2,0,0,1,1,0,0,2,0,0,0,0,0,2,0
   model CRACKER 50,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
   model SPIN 50,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
 total marca FIRST BIKE,"2,930",0,6,100,"2,821",3,0,"2,930",0,0,0,3,65,70,"2,792"
   model CITYFLEX,2,0,0,0,1,1,0,2,0,0,0,0,0,0,2
   model FB48Q,18,0,0,18,0,0,0,18,0,0,0,0,13,5,0
   model FB50CF,20,0,0,20,0,0,0,20,0,0,0,0,11,9,0
   model FB50QT-15,"1,247",0,2,19,"1,225",1,0,"1,247",0,0,0,1,12,19,"1,215"
   model FB50QT-19,2,0,0,2,0,0,0,2,0,0,0,0,0,2,0
   model FB50QT-3,12,0,1,11,0,0,0,12,0,0,0,0,11,1,0
   model FB50QT-6,363,0,1,6,356,0,0,363,0,0,0,0,7,0,356
   model FB50QT-6A,482,0,0,0,482,0,0,482,0,0,0,0,0,1,481
   model FB50QT-7,6,0,1,3,2,0,0,6,0,0,0,1,2,1,2
   model FB50QT-9,594,0,1,2,591,0,0,594,0,0,0,1,1,12,580
   model nespecificat,184,0,0,19,164,1,0,184,0,0,0,0,8,20,156
