MINISTERUL AFACERILOR INTERNE,,,,,,,,TOTAL,,,,,,,
DIRECTIA REGIM PERMISE DE CONDUCERE SI INMATRICULARE A VEHICULELOR,,,,,,,,,,,,,,,
PARC AUTO LA 31.12.2020,,,,,,,,,,,,,,,
CATEGORIA,Numar,Vechime (ani),,,,,,Carburant,,,,Vechime (ani),,,
,,0--2,3--5,6--10,11--15,16--20,>20,Benzina,Motorina,Electric,Hibrid01(benzina+electric),0--4,5--8,9--12,peste 12
,,,,,,,,,,,Hibrid02(motorina+electric),,,,
,,,,,,,,,,,Hibrid03(GPL+electric),,,,
   model DAILY 40C12D,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
   model DAILY 40C13,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model DAILY 49.10,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2
   model DAILY 4X4,2,0,0,0,2,0,0,0,2,0,0,0,0,0,2
   model DAILY 50 C/35,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
   model DAILY 50C/35,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
   model DAILY 50C13,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model DAILY 50C14,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
   model DAILY 50C15,13,0,0,9,3,1,0,0,13,0,0,0,7,2,4
   model DAILY 50C17,7,0,0,7,0,0,0,0,7,0,0,0,1,6,0
   model DAILY 50C18,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
   model DAILY 5S11,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
   model DAILY C35 710,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model DAILY HPY,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model DAILY UNIJET,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model DAILY35C15,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
   model DAILYU,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model DALLY,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model DALY,2,0,0,1,0,1,0,0,2,0,0,0,0,1,1
   model DAYLI,2,0,0,0,2,0,0,0,2,0,0,0,0,0,2
   model DIALY,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model DILY,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
   model DUTY,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2
   model EEV 75E16,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
   model EURO CARGO,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2
   model EUROCARGO,15,0,0,2,5,4,4,0,15,0,0,0,0,3,12
   model EUROTRAKKER,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model GRINTA,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2
   model IVECO,5,0,1,1,2,1,0,0,5,0,0,1,0,2,2
   model IVECO DAILY,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
   model IVECO-CANTONI,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
   model LEONCINO,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
   model MASSIF,7,0,0,0,7,0,0,0,7,0,0,0,0,7,0
   model MKD 43-L-N,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
   model ML75E16,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
   model SANTANA,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
   model TRAKKER 310,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
   model TRAKKER 410,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
   model TURBO,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model TURBO DAILY,"1,910",0,0,0,3,54,"1,853",0,"1,910",0,0,0,0,1,"1,909"
   model TURBO DAILY 35.12,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model TURBO DAILY 35-10,71,0,0,0,0,0,71,0,71,0,0,0,0,0,71
   model TURBO DAILY 35-10 K,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2
   model TURBO DAILY 35-12,5,0,0,0,0,0,5,0,5,0,0,0,0,0,5
   model TURBO DAILY 35.10,5,0,0,0,0,0,5,0,5,0,0,0,0,0,5
   model TURBO DAILY 35.12,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4
   model TURBO DAILY 35E10,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2
   model TURBO DAILY 40.10,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2
   model TURBO DAILY 49-12,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model TURBO DAILY 59-12,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4
   model TURBO DALLY,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model TURBO-DAILY,7,0,0,0,0,0,7,0,7,0,0,0,0,0,7
   model TURBO-DAILY 35-10,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model TURBODAILY,442,0,0,0,0,15,427,0,442,0,0,0,0,0,442
   model TURBODAILY 35-10,16,0,0,0,0,0,16,0,16,0,0,0,0,0,16
   model TURBODAILY 35-10.1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model TURBODAILY 35.12,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model TURBODAILY 49-10K,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model TURBODAILY 49.10,5,0,0,0,0,0,5,0,5,0,0,0,0,0,5
   model TURBODAILY 49.12,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model TURBODAILY35-10,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model TURBODAILY35.12,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model TURODAILY,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model nespecificat,"5,990",0,0,17,602,"2,876","2,495",2,"5,988",0,0,0,5,38,"5,947"
 total marca IVECO ~,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
   model DAILY,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
 total marca IVECO CARPOL,2,0,2,0,0,0,0,0,2,0,0,2,0,0,0
   model 35S18,2,0,2,0,0,0,0,0,2,0,0,2,0,0,0
 total marca IVECO JUZJADE,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
   model 35C18,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
 total marca IVECO MAGIRUS,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2
   model EUROTRAKKER,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
 total marca IVECO UNIC,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model DAILY,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
 total marca IVECO-DRIVAL,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
   model nespecificat,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
 total marca IVECO-FIAT,357,0,0,0,0,0,357,0,357,0,0,0,0,0,357
   model -,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model 35 8,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model 35-10,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model 35-8,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4
   model 35-8H,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3
   model 40.10,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model 40NC,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2
   model DAILY,180,0,0,0,0,0,180,0,180,0,0,0,0,0,180
   model DAILY 35-10,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model DAILY 35-8,13,0,0,0,0,0,13,0,13,0,0,0,0,0,13
   model OM GRINTA,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model TURBO DAILY,77,0,0,0,0,0,77,0,77,0,0,0,0,0,77
   model TURBO DAILY 35-10,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model TURBO DAILY 35.10,7,0,0,0,0,0,7,0,7,0,0,0,0,0,7
   model TURBODAILY,37,0,0,0,0,0,37,0,37,0,0,0,0,0,37
   model TURBODAILY 35-10,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model TURO DAILY 35-10,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model nespecificat,25,0,0,0,0,0,25,0,25,0,0,0,0,0,25
 total marca IVECO.,20,1,0,0,4,5,10,0,20,0,0,1,0,1,18
   model 35C18,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
   model DAILY,16,0,0,0,3,5,8,0,16,0,0,0,0,1,15
   model EUROCARGO,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
   model TURBO DAILY,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
 total marca IVECO/DIGICROSS,2,0,2,0,0,0,0,0,2,0,0,0,2,0,0
   model 35S17/DG,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
   model 35S18/DG,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
 total marca IVECO/GRUPA KETTY S.A,2,0,2,0,0,0,0,0,2,0,0,2,0,0,0
   model DAILY 35S18/AT06,2,0,2,0,0,0,0,0,2,0,0,2,0,0,0
 total marca IVECO/GRUPA KETY S.A.,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
   model 50C17/AT06,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
 total marca IVECO/GRUPA KETY SA,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
   model 50C18/AT06,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
 total marca IVECO/IGLOOCAR,2,0,0,2,0,0,0,0,2,0,0,0,2,0,0
   model 35C/IGLOOCAR,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
   model IGLOOCAR,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
 total marca IVECO/JEGGER,6,1,4,1,0,0,0,0,6,0,0,4,2,0,0
   model 35C15,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
   model 35S17,2,0,2,0,0,0,0,0,2,0,0,2,0,0,0
   model 35S18,2,1,1,0,0,0,0,0,2,0,0,2,0,0,0
   model 35S21,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
 total marca IVECO/JUSAM STANISLAW JURKOWSKI,4,0,1,3,0,0,0,0,4,0,0,1,3,0,0
   model 35C15,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
   model 50/35/JU02,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
   model 50C18/JU06,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
   model DAILY 35C15/JU06,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
 total marca IVECO/JUZJADE,10,1,9,0,0,0,0,0,10,0,0,5,5,0,0
   model 35S15,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
   model 35S17,3,0,3,0,0,0,0,0,3,0,0,0,3,0,0
   model 35S18,6,1,5,0,0,0,0,0,6,0,0,5,1,0,0
 total marca IVECO/LAMAR,16,0,9,7,0,0,0,0,16,0,0,4,12,0,0
   model 35C15,4,0,1,3,0,0,0,0,4,0,0,0,4,0,0
   model 35S15,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
   model 35S17,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
   model 35S17/LA,2,0,1,1,0,0,0,0,2,0,0,0,2,0,0
   model 35S18/LA 02,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
   model 35S18/LA 06,2,0,2,0,0,0,0,0,2,0,0,2,0,0,0
   model 50C/35,3,0,2,1,0,0,0,0,3,0,0,0,3,0,0
   model DAILY,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
   model DAILY 35S17,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
 total marca IVECO/MRAUTO,2,0,2,0,0,0,0,0,2,0,0,2,0,0,0
   model 50C/MR,2,0,2,0,0,0,0,0,2,0,0,2,0,0,0
 total marca IVECO/NPS,19,16,3,0,0,0,0,0,19,0,0,19,0,0,0
   model 35S18,19,16,3,0,0,0,0,0,19,0,0,19,0,0,0
 total marca IVECO/PARTNER,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
   model 35S18,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
 total marca IVECO/PLANDEX,7,2,2,3,0,0,0,0,7,0,0,3,4,0,0
   model 35C15/Z,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
   model 35C17/Z,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
   model 35S17,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
   model 35S17/Z,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
   model 35S18,3,2,1,0,0,0,0,0,3,0,0,3,0,0,0
 total marca IVECO/POLMAR,7,4,3,0,0,0,0,0,7,0,0,7,0,0,0
   model 35S18/PO,7,4,3,0,0,0,0,0,7,0,0,7,0,0,0
 total marca IVECO/ROMCAR,9,1,4,3,1,0,0,0,9,0,0,4,2,3,0
   model 35C15,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
   model 35S17,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
   model 50C/35,5,1,4,0,0,0,0,0,5,0,0,4,1,0,0
   model DAILY,2,0,0,1,1,0,0,0,2,0,0,0,0,2,0
 total marca IVECO/SCATTOLINI,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
   model 35C13,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
 total marca IVECO/TENSA,6,0,5,1,0,0,0,0,6,0,0,3,3,0,0
   model 35C15,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
   model 35S15,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
   model 35S17,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
   model 35S18,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
   model 50C/35,2,0,2,0,0,0,0,0,2,0,0,2,0,0,0
 total marca IVECO/TRAMP,14,0,13,1,0,0,0,0,14,0,0,7,7,0,0
   model 35S17,8,0,7,1,0,0,0,0,8,0,0,1,7,0,0
   model 35S18,6,0,6,0,0,0,0,0,6,0,0,6,0,0,0
 total marca IVECO`,4,0,0,0,1,1,2,0,4,0,0,0,0,1,3
   model DAILY,3,0,0,0,1,1,1,0,3,0,0,0,0,1,2
   model TURBO DAILY,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
 total marca IVECO~,201,3,0,9,46,65,78,0,201,0,0,3,1,15,182
   model 35-8,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model 35C12,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model 35C13,2,0,0,2,0,0,0,0,2,0,0,0,0,2,0
   model 35C14,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
   model 35C15,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
   model 35C15L,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
   model 35C16,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
   model 35C18,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
   model DAILLY,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model DAILY,172,0,0,6,44,63,59,0,172,0,0,0,1,11,160
   model DAILY 35C15,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
   model TURBO DAILY,15,0,0,0,0,0,15,0,15,0,0,0,0,0,15
   model TURBODAILY,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model nespecificat,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2
 total marca IZH,13,0,0,0,0,0,13,13,0,0,0,0,0,0,13
   model nespecificat,13,0,0,0,0,0,13,13,0,0,0,0,0,0,13
 total marca IZOTERM CAB.RETR.,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
 total marca JEEP,498,1,0,5,39,364,89,37,461,0,0,1,1,4,492
   model CHEROCHE,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3
   model CHEROJKEE,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model CHEROKEE,147,0,0,0,7,99,41,5,142,0,0,0,0,0,147
   model CHEROKEE 2.8,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model CHEROKEE VAN,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model COMMANDER,2,0,0,0,2,0,0,0,2,0,0,0,0,0,2
   model GRAND CHER0KEE,46,0,0,0,0,45,1,0,46,0,0,0,0,0,46
   model GRAND CHEROCHE,3,0,0,0,0,3,0,0,3,0,0,0,0,0,3
   model GRAND CHEROKE,12,0,0,0,2,10,0,0,12,0,0,0,0,0,12
   model GRAND CHEROKEE,228,0,0,0,24,193,11,4,224,0,0,0,0,0,228
   model GRAND CHEROKEE 2.7 CRD,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model GRAND CHEROKEE SRT8,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
   model GRAND CHREROKEE,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model GRAND GHEROKEE,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model PATRIOT,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
   model RUBICON,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model WRANGLER,12,0,0,1,1,0,10,10,2,0,0,0,0,1,11
   model WRANGLER UNLIMITED,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
   model nespecificat,35,1,0,2,2,8,22,16,19,0,0,1,1,1,32
 total marca JUNGE FAHRZEUGBAU,17,0,9,8,0,0,0,0,17,0,0,5,12,0,0
   model JF/DC KST03,4,0,0,4,0,0,0,0,4,0,0,0,4,0,0
   model SPRINTER,13,0,9,4,0,0,0,0,13,0,0,5,8,0,0
 total marca JUNGE FAHRZEUGBAU GMBH,3,0,2,1,0,0,0,0,3,0,0,1,2,0,0
   model JF/DC KST03,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
   model SPRINTER,2,0,2,0,0,0,0,0,2,0,0,1,1,0,0
 total marca KERSTNER,12,0,5,7,0,0,0,0,12,0,0,2,10,0,0
   model KERSTNER K?HLSPRINTER,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
   model KERSTNER KUHLSPRINTER,8,0,3,5,0,0,0,0,8,0,0,1,7,0,0
   model KERSTNER KUHLVITO,2,0,2,0,0,0,0,0,2,0,0,1,1,0,0
   model KUHLVITO,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
 total marca KIA,"1,802",0,0,9,778,785,230,4,"1,798",0,0,0,3,58,"1,741"
   model BESTA,6,0,0,0,0,0,6,0,6,0,0,0,0,0,6
   model BONGO III,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model CARENS,8,0,0,0,2,6,0,2,6,0,0,0,0,0,8
   model CARENS VAN,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model CARNIVAL,26,0,0,0,4,22,0,0,26,0,0,0,0,0,26
   model CARNIVAL VAN,3,0,0,0,0,3,0,0,3,0,0,0,0,0,3
   model CEE'D,6,0,0,5,1,0,0,0,6,0,0,0,2,4,0
   model CERES,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model K 2500,15,0,0,0,3,12,0,0,15,0,0,0,0,0,15
   model K 2500 TCI,188,0,0,0,186,2,0,0,188,0,0,0,0,1,187
   model K 2500 TCI LSD,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
   model K 2500TCI,15,0,0,0,0,15,0,0,15,0,0,0,0,0,15
   model K 2700,9,0,0,0,2,7,0,0,9,0,0,0,0,0,9
   model K2500,83,0,0,0,26,57,0,0,83,0,0,0,0,1,82
   model K2500 TCI,16,0,0,0,7,9,0,0,16,0,0,0,0,0,16
   model K2500TCI,509,0,0,0,377,132,0,0,509,0,0,0,0,0,509
   model K2700,19,0,0,0,1,13,5,0,19,0,0,0,0,0,19
   model K2700 TCI,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model K2900,17,0,0,0,17,0,0,0,17,0,0,0,0,1,16
   model K2900 CRDI,2,0,0,0,2,0,0,0,2,0,0,0,0,1,1
   model K2900CRDI,108,0,0,2,106,0,0,0,108,0,0,0,0,47,61
   model KING CAB,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model PIAGIO,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model PREGIO,51,0,0,0,3,42,6,0,51,0,0,0,0,0,51
   model RETONA,4,0,0,0,0,1,3,0,4,0,0,0,0,0,4
   model RIO,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
   model SORENTO,247,0,0,0,25,222,0,0,247,0,0,0,0,2,245
   model SORENTO 2.5 CRDI,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
   model SORENTO 2.5 CRDI EX,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
   model SORENTO 2.5 CRDI VAN,5,0,0,0,0,5,0,0,5,0,0,0,0,0,5
   model SORENTO 2.5CRD,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model SORENTO EX,2,0,0,0,1,1,0,0,2,0,0,0,0,0,2
   model SORENTO VAN,2,0,0,0,0,2,0,0,2,0,0,0,0,0,2
   model SPORTAGE,32,0,0,1,7,20,4,2,30,0,0,0,0,1,31
   model nespecificat,418,0,0,0,5,209,204,0,418,0,0,0,0,0,418
 total marca KIEFER,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
 total marca LADA,26,8,4,1,3,9,1,25,1,0,0,12,1,0,13
   model 4X4,4,0,4,0,0,0,0,4,0,0,0,4,0,0,0
   model LADA 4X4,8,8,0,0,0,0,0,8,0,0,0,8,0,0,0
   model NIVA,7,0,0,1,3,3,0,7,0,0,0,0,1,0,6
   model NIVA 1.7I,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model NIVA TAIGA,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model nespecificat,5,0,0,0,0,5,0,5,0,0,0,0,0,0,5
 total marca LAMAR,3,1,2,0,0,0,0,0,3,0,0,3,0,0,0
   model SPRINTER/LAMAR,3,1,2,0,0,0,0,0,3,0,0,3,0,0,0
 total marca LANCIA,7,0,0,0,1,5,1,1,6,0,0,0,0,0,7
   model LYBRA SW,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model MUSA,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
   model PHEDRA,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4
   model Z,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
 total marca LAND ROVER,"1,495",0,0,13,178,885,419,34,"1,461",0,0,0,1,35,"1,459"
   model 75,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model 90,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model DEFENDER,58,0,0,1,6,14,37,1,57,0,0,0,0,1,57
   model DEFENDER 110,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model DEFENDER 110,8,0,0,0,1,4,3,1,7,0,0,0,0,1,7
   model DEFENDER 110 DP,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model DEFENDER 110TDI,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model DEFENDER 130,6,0,0,1,4,1,0,0,6,0,0,0,0,5,1
   model DEFENDER 90,9,0,0,0,0,0,9,0,9,0,0,0,0,0,9
   model DICOVERY,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model DISCOVERY,193,0,0,4,9,66,114,1,192,0,0,0,0,5,188
   model DISCOVERY 3,28,0,0,0,12,16,0,0,28,0,0,0,0,1,27
   model DISCOVERY 3 2.7D HSE,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model DISCOVERY 4,4,0,0,1,3,0,0,0,4,0,0,0,0,4,0
   model DISCOVERY II,54,0,0,0,0,49,5,0,54,0,0,0,0,0,54
   model DISCOVERY II TD,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model DISCOVERY III,5,0,0,0,2,3,0,0,5,0,0,0,0,0,5
   model DISCOVERY TDI COMM,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model FREE LANDER,24,0,0,0,1,16,7,0,24,0,0,0,0,0,24
   model FREELANDER,852,0,0,1,58,594,199,23,829,0,0,0,0,5,847
   model FREELANDER 2,31,0,0,3,28,0,0,0,31,0,0,0,1,8,22
   model FREELANDER 2.0 TD4,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4
   model FREELANDER SWB,3,0,0,0,0,2,1,1,2,0,0,0,0,0,3
   model FREELANDER TD,2,0,0,0,0,1,1,0,2,0,0,0,0,0,2
   model FREELANDER TD4 4X4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model FREELENDER,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model RANGE ROVER,5,0,0,0,2,3,0,0,5,0,0,0,0,0,5
   model RANGE ROVER,116,0,0,1,15,81,19,3,113,0,0,0,0,4,112
   model RANGE ROVER SPORT,46,0,0,1,37,8,0,1,45,0,0,0,0,1,45
   model nespecificat,36,0,0,0,0,19,17,3,33,0,0,0,0,0,36
 total marca LATVIA,7,0,0,0,0,0,7,4,3,0,0,0,0,0,7
   model nespecificat,7,0,0,0,0,0,7,4,3,0,0,0,0,0,7
 total marca LAWRENCE DAVID LIMITED,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
   model SPRINTER 313 CDI,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
 total marca LDV,412,0,0,2,93,140,177,0,412,0,0,0,1,12,399
   model 2.8/95,3,0,0,0,2,1,0,0,3,0,0,0,0,0,3
   model 36 VA ET,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model 36VA ET,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model 400,2,0,0,0,0,1,1,0,2,0,0,0,0,0,2
   model 400 CONVOY,90,0,0,0,2,46,42,0,90,0,0,0,0,0,90
   model 400 CONVOY D LWB,4,0,0,0,0,1,3,0,4,0,0,0,0,0,4
"   model 400 SERIES TD 3,5T",1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model 5KFB,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
   model CONVOY,115,0,0,0,0,42,73,0,115,0,0,0,0,0,115
   model CONVOY 400,17,0,0,0,1,9,7,0,17,0,0,0,0,0,17
   model CONVOY D LWB,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model MAXUS,59,0,0,1,52,6,0,0,59,0,0,0,1,9,49
   model MAXUS 2.8 T,2,0,0,0,1,1,0,0,2,0,0,0,0,0,2
   model MAXUS 2.8/120,8,0,0,0,8,0,0,0,8,0,0,0,0,0,8
"   model MAXUS 3,5/120",21,0,0,0,14,7,0,0,21,0,0,0,0,1,20
"   model MAXUS 3,5/95",2,0,0,0,2,0,0,0,2,0,0,0,0,0,2
   model MAXUS 3.2/120,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
   model MAXUS 3.5 1120,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
   model MAXUS 3.5/95,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
   model MAXUS 35/120,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
   model PILOT,4,0,0,0,0,2,2,0,4,0,0,0,0,0,4
   model VA 435 FT,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model VA435FT,2,0,0,0,0,1,1,0,2,0,0,0,0,0,2
   model nespecificat,73,0,0,0,7,22,44,0,73,0,0,0,0,0,73
