MINISTERUL AFACERILOR INTERNE,,,,,,,,TOTAL,,,,,
DIRECTIA REGIM PERMISE DE CONDUCERE SI INMATRICULARE A VEHICULELOR,,,,,,,,,,,,,
PARC AUTO LA 31.12.2019,,,,,,,,,,,,,
CATEGORIA DE FOLOSINTA,Numar,Vechime (ani),,,,,,Carburant,,Vechime (ani),,,
,,0--2,3--5,6--10,11--15,16--20,>20,Motorina,Benzina,0--4,5--8,9--12,peste 12
   model EUROCARGO 150E22,1,0,0,1,0,0,0,1,0,0,1,0,0
   model EUROCARGO 160E22,4,0,0,0,4,0,0,4,0,0,0,4,0
   model EUROCARGO 160E25,1,0,0,1,0,0,0,1,0,0,1,0,0
   model EUROCARGO 180 E,1,1,0,0,0,0,0,1,0,1,0,0,0
   model EUROCARGO 180 E25,1,0,0,0,1,0,0,1,0,0,0,1,0
   model EUROCARGO 180E24,1,0,0,0,1,0,0,1,0,0,0,0,1
   model EUROCARGO 180E25,2,0,0,2,0,0,0,2,0,0,1,1,0
   model EUROCARGO 180E28,5,0,1,0,3,1,0,5,0,0,1,1,3
   model EUROCARGO 180E30,1,0,0,0,1,0,0,1,0,0,0,1,0
   model EUROCARGO 190EL,1,0,0,1,0,0,0,1,0,0,1,0,0
   model EUROCARGO 75E13,1,0,0,0,0,1,0,1,0,0,0,0,1
   model EUROCARGO 75E14,14,0,0,0,0,0,14,14,0,0,0,0,14
   model EUROCARGO 75E15,15,0,0,0,0,11,4,15,0,0,0,0,15
   model EUROCARGO 75E17,1,0,0,0,0,1,0,1,0,0,0,0,1
   model EUROCARGO 75E18,2,0,0,0,0,2,0,2,0,0,0,0,2
   model EUROCARGO 80E14,1,0,0,0,0,0,1,1,0,0,0,0,1
   model EUROCARGO 80E17,1,0,0,0,0,1,0,1,0,0,0,0,1
   model EUROCARGO 80E18,1,0,0,0,0,0,1,1,0,0,0,0,1
   model EUROCARGO 80E21,1,0,0,0,0,1,0,1,0,0,0,0,1
   model EUROCARGO 95E15,1,0,0,0,0,0,1,1,0,0,0,0,1
   model EUROCARGO ML160E22,4,0,0,4,0,0,0,4,0,0,0,4,0
   model EUROCARGO TECTOR,1,0,0,0,0,1,0,1,0,0,0,0,1
   model EUROCARGO-TECTOR,1,0,0,0,0,1,0,1,0,0,0,0,1
   model EUROGARGO,1,0,0,0,0,1,0,1,0,0,0,0,1
   model EUROHOTEL,1,0,0,0,0,0,1,1,0,0,0,0,1
   model EUROMOVER,4,0,0,0,3,1,0,4,0,0,0,1,3
   model EUROSTAR,2,0,0,0,0,2,0,2,0,0,0,0,2
   model EUROTECH,32,0,0,0,1,17,14,32,0,0,0,0,32
   model EUROTECH 180E30,1,0,0,0,0,0,1,1,0,0,0,0,1
   model EUROTECH 190E24,2,0,0,0,0,0,2,2,0,0,0,0,2
   model EUROTECH 190E27,2,0,0,0,0,0,2,2,0,0,0,0,2
   model EUROTECH 260E30,1,0,0,0,0,0,1,1,0,0,0,0,1
   model EUROTRAKKER,35,0,0,0,3,22,10,35,0,0,0,0,35
   model EUROTRUCKER,1,0,0,0,0,0,1,1,0,0,0,0,1
   model FF150EW,1,0,1,0,0,0,0,1,0,1,0,0,0
   model GIOTTILINE,1,0,0,1,0,0,0,1,0,0,1,0,0
   model KREOS 5001SL,1,0,0,1,0,0,0,1,0,0,1,0,0
   model LAIKA CARAVANS,2,0,0,0,1,1,0,2,0,0,0,0,2
   model LAIKA EV100,1,0,0,0,0,0,1,1,0,0,0,0,1
   model MAGIRUS,2,0,0,0,1,0,1,2,0,0,0,1,1
   model MASSIF,1,0,0,1,0,0,0,1,0,0,0,1,0
   model MINONZIO,1,0,0,0,0,0,1,1,0,0,0,0,1
   model ML140E18,1,0,0,1,0,0,0,1,0,0,0,1,0
   model ML75E14 EUROCARGO,1,0,0,1,0,0,0,1,0,0,1,0,0
   model RIMOR AAI95G3,1,0,0,1,0,0,0,1,0,0,1,0,0
   model STRALIS,64,0,0,2,58,4,0,64,0,0,1,9,54
   model STRALIS 270,1,0,0,0,1,0,0,1,0,0,0,0,1
   model STRALIS 300,4,0,0,0,4,0,0,4,0,0,0,0,4
   model STRALIS 310,2,0,0,1,1,0,0,2,0,0,1,0,1
   model STRALIS 330,4,0,0,3,1,0,0,4,0,0,1,3,0
   model STRALIS 350,1,0,0,0,1,0,0,1,0,0,0,0,1
   model STRALIS 360,3,0,0,1,2,0,0,3,0,0,0,3,0
   model STRALIS 420,1,0,0,0,1,0,0,1,0,0,0,1,0
   model STRALIS 430,1,0,0,0,0,1,0,1,0,0,0,0,1
   model STRALIS 450,1,0,0,1,0,0,0,1,0,0,0,1,0
   model STRALIS AD,1,0,0,0,1,0,0,1,0,0,0,0,1
   model TECTOR,7,0,0,0,0,7,0,7,0,0,0,0,7
   model TRAKKER,53,0,0,13,38,0,2,53,0,0,1,32,20
   model TRAKKER 310,6,0,0,6,0,0,0,6,0,0,0,6,0
   model TRAKKER 380,2,0,0,0,2,0,0,2,0,0,0,0,2
   model TRAKKER 410,1,0,0,0,1,0,0,1,0,0,0,0,1
   model TRAKKER 440,2,0,0,0,2,0,0,2,0,0,0,0,2
   model TRAKKER 450,4,0,1,0,3,0,0,4,0,1,0,2,1
   model TRAKKER 8X8,1,0,0,1,0,0,0,1,0,0,0,1,0
   model TROJSI,1,0,0,0,0,0,1,1,0,0,0,0,1
   model TURBO DAILY,30,0,0,0,0,1,29,30,0,0,0,0,30
   model TURBO DAILY 40-10,1,0,0,0,0,0,1,1,0,0,0,0,1
   model TURBO STAR,2,0,0,0,0,0,2,2,0,0,0,0,2
   model TURBODAILY,18,0,0,0,0,3,15,18,0,0,0,0,18
   model TURBODAILY 49-12,1,0,0,0,0,0,1,1,0,0,0,0,1
   model TURBOZETA,1,0,0,0,0,0,1,1,0,0,0,0,1
   model UNIC,3,0,0,0,0,0,3,3,0,0,0,0,3
   model UNIC CARAVANE,1,0,0,0,0,0,1,1,0,0,0,0,1
   model ZETA 109-14,1,0,0,0,0,0,1,1,0,0,0,0,1
   model nespecificat,126,0,0,11,13,14,88,126,0,0,10,8,108
 total marca IVECO MAGIRUS,169,1,0,5,57,13,93,169,0,1,2,27,139
   model 120-19,2,0,0,0,0,0,2,2,0,0,0,0,2
   model 140-25,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 160-17,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 170-23,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 170-23 ANW,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 170-34,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 180-25,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 180.23,6,0,0,0,0,0,6,6,0,0,0,0,6
   model 190.34,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 190E30 EUROTRAKKER,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 75-13,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 80-13,2,0,0,0,0,0,2,2,0,0,0,0,2
   model 80-16,1,0,0,0,0,0,1,1,0,0,0,0,1
   model AD190T33,1,0,0,0,1,0,0,1,0,0,0,1,0
   model ANW,1,0,0,0,0,0,1,1,0,0,0,0,1
   model CURSOR,1,0,0,0,0,1,0,1,0,0,0,0,1
   model EURO TRAKKER,1,0,0,0,0,0,1,1,0,0,0,0,1
   model EUROCARGO,1,0,0,0,0,1,0,1,0,0,0,0,1
   model EUROFIRE,1,0,0,0,1,0,0,1,0,0,0,0,1
   model EUROMOVER,3,0,0,0,2,1,0,3,0,0,0,0,3
   model EUROSTAR,1,0,0,0,0,0,1,1,0,0,0,0,1
   model EUROTECH,5,0,0,0,1,2,2,5,0,0,0,0,5
   model EUROTECH 190E38,1,0,0,0,0,0,1,1,0,0,0,0,1
   model EUROTECH CURSOR,1,0,0,0,0,1,0,1,0,0,0,0,1
   model EUROTRAKKER,15,0,0,0,1,3,11,15,0,0,0,0,15
   model HEAVY DUTY 4X4,1,0,0,0,0,0,1,1,0,0,0,0,1
   model HTA 18,1,0,0,0,1,0,0,1,0,0,0,0,1
   model IVECO MAGIRUS,1,0,0,0,0,0,1,1,0,0,0,0,1
   model MP260E,1,0,0,0,0,1,0,1,0,0,0,0,1
   model PACER,2,0,0,0,2,0,0,2,0,0,0,0,2
   model STRALIS,20,1,0,0,19,0,0,20,0,1,0,10,9
   model STRALIS 270,1,0,0,0,0,1,0,1,0,0,0,0,1
   model STRALIS 300,1,0,0,0,1,0,0,1,0,0,0,0,1
   model STRALIS 310,4,0,0,1,2,1,0,4,0,0,1,1,2
   model STRALIS 330,2,0,0,1,1,0,0,2,0,0,0,2,0
   model STRALIS 350,1,0,0,0,1,0,0,1,0,0,0,0,1
   model STRALIS 360,1,0,0,1,0,0,0,1,0,0,0,1,0
   model STRALIS 420,1,0,0,1,0,0,0,1,0,0,1,0,0
   model STRALIS 450,1,0,0,0,1,0,0,1,0,0,0,1,0
   model TRACKER,1,0,0,0,1,0,0,1,0,0,0,0,1
   model TRAKKER,14,0,0,1,13,0,0,14,0,0,0,9,5
   model TRAKKER 450,2,0,0,0,2,0,0,2,0,0,0,2,0
   model TRAKKER 480,1,0,0,0,1,0,0,1,0,0,0,0,1
   model VAT 10MATIC,1,0,0,0,0,0,1,1,0,0,0,0,1
   model nespecificat,60,0,0,0,6,1,53,60,0,0,0,0,60
 total marca IVECO-FIAT,17,0,0,0,0,0,17,17,0,0,0,0,17
   model 330.36,1,0,0,0,0,0,1,1,0,0,0,0,1
   model DAILY,3,0,0,0,0,0,3,3,0,0,0,0,3
   model TURBO DAILY,2,0,0,0,0,0,2,2,0,0,0,0,2
   model nespecificat,11,0,0,0,0,0,11,11,0,0,0,0,11
 total marca IVECO-FORD,25,0,0,0,0,15,10,25,0,0,0,0,25
   model CARGO,8,0,0,0,0,4,4,8,0,0,0,0,8
   model DAILY,2,0,0,0,0,2,0,2,0,0,0,0,2
   model EUROCARGO,8,0,0,0,0,6,2,8,0,0,0,0,8
   model nespecificat,7,0,0,0,0,3,4,7,0,0,0,0,7
 total marca IVECO-MAGIRUS,31,0,0,3,3,8,17,31,0,0,3,3,25
   model 110-16A,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 180-25,1,0,0,0,0,0,1,1,0,0,0,0,1
   model EUROTECH,5,0,0,0,0,3,2,5,0,0,0,0,5
   model EUROTRAKKER,5,0,0,0,0,4,1,5,0,0,0,0,5
   model STRALIS,1,0,0,1,0,0,0,1,0,0,1,0,0
   model TRAKKER,3,0,0,1,2,0,0,3,0,0,1,2,0
   model TRAKKER 410,1,0,0,1,0,0,0,1,0,0,1,0,0
   model TRAKKER 450,1,0,0,0,1,0,0,1,0,0,0,1,0
   model nespecificat,13,0,0,0,0,1,12,13,0,0,0,0,13
 total marca IVECO/CONCORDE,2,2,0,0,0,0,0,2,0,2,0,0,0
   model CREDO 840 L,1,1,0,0,0,0,0,1,0,1,0,0,0
   model CREDO 841L,1,1,0,0,0,0,0,1,0,1,0,0,0
 total marca IVECO/TEVOR,4,2,2,0,0,0,0,4,0,4,0,0,0
   model 70C18/TR24,4,2,2,0,0,0,0,4,0,4,0,0,0
 total marca JEEP,19,0,1,1,16,1,0,16,3,1,1,0,17
   model COMPASS,1,0,0,1,0,0,0,1,0,0,1,0,0
   model GRAND CHEROKEE,11,0,0,0,10,1,0,9,2,0,0,0,11
   model WRANGLER,1,0,1,0,0,0,0,1,0,1,0,0,0
   model nespecificat,6,0,0,0,6,0,0,5,1,0,0,0,6
 total marca JELEZ,5,0,0,0,0,0,5,5,0,0,0,0,5
   model HYDROS,4,0,0,0,0,0,4,4,0,0,0,0,4
   model nespecificat,1,0,0,0,0,0,1,1,0,0,0,0,1
 total marca JOHNSTON,4,0,1,1,2,0,0,4,0,1,1,2,0
   model SWEEPERS,1,0,0,0,1,0,0,1,0,0,0,1,0
   model nespecificat,3,0,1,1,1,0,0,3,0,1,1,1,0
 total marca JOHNSTON SWEEPERS,3,0,3,0,0,0,0,3,0,2,1,0,0
   model LF 220 FA,3,0,3,0,0,0,0,3,0,2,1,0,0
 total marca JOINT,1,0,0,0,1,0,0,1,0,0,0,0,1
   model S365,1,0,0,0,1,0,0,1,0,0,0,0,1
 total marca KAMAZ,2,0,0,0,0,0,2,2,0,0,0,0,2
   model nespecificat,2,0,0,0,0,0,2,2,0,0,0,0,2
 total marca KARMANN MOBIL,4,0,2,0,2,0,0,4,0,2,0,0,2
   model COLORADO,1,0,0,0,1,0,0,1,0,0,0,0,1
   model DAVIS 590,1,0,1,0,0,0,0,1,0,1,0,0,0
   model DAVIS 620,1,0,1,0,0,0,0,1,0,1,0,0,0
   model ONTARIO,1,0,0,0,1,0,0,1,0,0,0,0,1
 total marca KASSBOHRER-SETRA,1,0,0,0,0,0,1,1,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,1,0,0,0,0,1
 total marca KATO,4,0,0,0,0,0,4,4,0,0,0,0,4
   model nespecificat,4,0,0,0,0,0,4,4,0,0,0,0,4
 total marca KENTUCKY CAMP,1,0,1,0,0,0,0,1,0,1,0,0,0
   model LUANO CAMP ACR86V3,1,0,1,0,0,0,0,1,0,1,0,0,0
 total marca KENWORTH,4,0,1,0,3,0,0,4,0,0,1,0,3
   model nespecificat,4,0,1,0,3,0,0,4,0,0,1,0,3
 total marca KIA,53,0,0,2,43,8,0,52,1,0,1,40,12
   model CARNIVAL,7,0,0,0,2,5,0,7,0,0,0,0,7
   model K 2700,1,0,0,0,0,1,0,1,0,0,0,0,1
   model K2500,1,0,0,0,1,0,0,1,0,0,0,0,1
   model K2700,1,0,0,0,0,1,0,1,0,0,0,0,1
   model PREGIO,1,0,0,0,0,1,0,1,0,0,0,0,1
   model SORENTO,39,0,0,0,39,0,0,39,0,0,0,39,0
   model SOUL,1,0,0,1,0,0,0,0,1,0,0,1,0
   model SPORTAGE,2,0,0,1,1,0,0,2,0,0,1,0,1
 total marca KIEFER,1,0,0,0,0,0,1,1,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,1,0,0,0,0,1
 total marca KIRCHHOFF,67,15,52,0,0,0,0,67,0,67,0,0,0
   model AROCS,35,11,24,0,0,0,0,35,0,35,0,0,0
   model ATEGO,4,2,2,0,0,0,0,4,0,4,0,0,0
   model P280,3,0,3,0,0,0,0,3,0,3,0,0,0
   model P320,2,0,2,0,0,0,0,2,0,2,0,0,0
   model TGL,1,0,1,0,0,0,0,1,0,1,0,0,0
   model TGM,17,1,16,0,0,0,0,17,0,17,0,0,0
   model TGS,4,0,4,0,0,0,0,4,0,4,0,0,0
   model VARIOPRESS,1,1,0,0,0,0,0,1,0,1,0,0,0
 total marca KIRCHHOFF ECOTEC,2,2,0,0,0,0,0,2,0,2,0,0,0
   model VIAJET 6,2,2,0,0,0,0,0,2,0,2,0,0,0
 total marca KNAUS,13,3,5,4,1,0,0,13,0,6,6,0,1
   model R07,6,2,3,1,0,0,0,6,0,4,2,0,0
   model R11,1,1,0,0,0,0,0,1,0,1,0,0,0
   model R16,1,0,1,0,0,0,0,1,0,1,0,0,0
   model R17,2,0,0,2,0,0,0,2,0,0,2,0,0
   model RENAULT,1,0,0,0,1,0,0,1,0,0,0,0,1
   model nespecificat,2,0,1,1,0,0,0,2,0,0,2,0,0
 total marca KNAUS/WEINSBERG,1,0,0,1,0,0,0,1,0,0,1,0,0
   model 59,1,0,0,1,0,0,0,1,0,0,1,0,0
 total marca KOMBAT,1,0,0,1,0,0,0,0,1,0,0,1,0
   model nespecificat,1,0,0,1,0,0,0,0,1,0,0,1,0
 total marca KOVATCH,1,0,0,0,0,0,1,1,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,1,0,0,0,0,1
 total marca KRAZ,5,0,0,0,0,0,5,5,0,0,0,0,5
   model 257,1,0,0,0,0,0,1,1,0,0,0,0,1
   model nespecificat,4,0,0,0,0,0,4,4,0,0,0,0,4
 total marca KRUPP,18,0,0,0,0,0,18,18,0,0,0,0,18
   model DA53,1,0,0,0,0,0,1,1,0,0,0,0,1
   model nespecificat,17,0,0,0,0,0,17,17,0,0,0,0,17
 total marca LA STRADA,1,1,0,0,0,0,0,1,0,1,0,0,0
   model AVANTI L,1,1,0,0,0,0,0,1,0,1,0,0,0
 total marca LADA-VAZ,2,0,0,1,1,0,0,0,2,0,1,0,1
   model NIVA,2,0,0,1,1,0,0,0,2,0,1,0,1
 total marca LADOG,7,0,0,0,6,0,1,7,0,0,0,0,7
   model nespecificat,7,0,0,0,6,0,1,7,0,0,0,0,7
 total marca LAIKA,32,31,0,1,0,0,0,32,0,31,1,0,0
   model ECOVIP 109,1,1,0,0,0,0,0,1,0,1,0,0,0
   model ECOVIP 309S,1,1,0,0,0,0,0,1,0,1,0,0,0
   model ECOVIP 310,1,0,0,1,0,0,0,1,0,0,1,0,0
   model ECOVIP305,1,1,0,0,0,0,0,1,0,1,0,0,0
   model KOSMO 212,8,8,0,0,0,0,0,8,0,8,0,0,0
   model KOSMO 509,4,4,0,0,0,0,0,4,0,4,0,0,0
   model KOSMO 512,2,2,0,0,0,0,0,2,0,2,0,0,0
   model KOSMO F510,14,14,0,0,0,0,0,14,0,14,0,0,0
 total marca LAIKA CARAVANS SPA,1,0,0,0,1,0,0,1,0,0,0,0,1
   model X,1,0,0,0,1,0,0,1,0,0,0,0,1
 total marca LANCIA,2,0,1,1,0,0,0,2,0,1,1,0,0
   model VOYAGER,2,0,1,1,0,0,0,2,0,1,1,0,0
 total marca LAND ROVER,51,0,1,12,17,14,7,46,5,0,3,18,30
   model DEFENDER,25,0,0,2,13,7,3,24,1,0,0,8,17
   model DEFENDER 130 TDS,1,0,0,0,0,1,0,1,0,0,0,0,1
   model DISCOVERY 3,2,0,0,0,2,0,0,2,0,0,0,2,0
   model DISCOVERY 4,10,0,0,10,0,0,0,10,0,0,2,8,0
   model FREELANDER,9,0,0,0,0,6,3,6,3,0,0,0,9
   model RANGE ROVER,2,0,0,0,2,0,0,1,1,0,0,0,2
   model SNATCH 2A,1,0,0,0,0,0,1,1,0,0,0,0,1
   model TAURUS,1,0,1,0,0,0,0,1,0,0,1,0,0
 total marca LDV,8,0,0,0,1,3,4,8,0,0,0,0,8
   model 400 CONVOY,1,0,0,0,0,0,1,1,0,0,0,0,1
   model CONVOY,4,0,0,0,0,3,1,4,0,0,0,0,4
   model CONVOY 400,1,0,0,0,0,0,1,1,0,0,0,0,1
   model MAXUS,1,0,0,0,1,0,0,1,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,1,0,0,0,0,1
 total marca LES DAUPHINS,1,0,0,1,0,0,0,1,0,0,1,0,0
   model TRAFIC ETOILE,1,0,0,1,0,0,0,1,0,0,1,0,0
 total marca LEYLAND,4,0,0,0,0,0,4,4,0,0,0,0,4
   model FA50 180,1,0,0,0,0,0,1,1,0,0,0,0,1
   model ROADRUNNER,2,0,0,0,0,0,2,2,0,0,0,0,2
   model nespecificat,1,0,0,0,0,0,1,1,0,0,0,0,1
 total marca LIAZ,11,0,0,0,0,0,11,11,0,0,0,0,11
   model 706 MTSP 25,1,0,0,0,0,0,1,1,0,0,0,0,1
   model nespecificat,10,0,0,0,0,0,10,10,0,0,0,0,10
 total marca LIEBHERR,225,6,16,24,68,48,63,225,0,18,22,34,151
   model DA 53,2,0,0,0,0,0,2,2,0,0,0,0,2
   model KLOCKNER BAMACO,1,0,0,0,0,0,1,1,0,0,0,0,1
   model KNAACK,1,0,0,0,0,0,1,1,0,0,0,0,1
   model LT 1055,1,0,0,0,0,0,1,1,0,0,0,0,1
   model LTC 1045-3.1,1,0,0,1,0,0,0,1,0,0,1,0,0
   model LTC1045-3.1,1,0,0,1,0,0,0,1,0,0,1,0,0
   model LTM 1025,2,0,0,0,0,0,2,2,0,0,0,0,2
   model LTM 1030-2.1,2,0,0,2,0,0,0,2,0,0,1,1,0
   model LTM 1030/2,4,0,0,0,0,4,0,4,0,0,0,0,4
   model LTM 1040-2.1,1,0,0,1,0,0,0,1,0,0,1,0,0
   model LTM 1040-3,1,0,0,0,0,0,1,1,0,0,0,0,1
   model LTM 1045-31,1,0,0,0,1,0,0,1,0,0,0,0,1
   model LTM 1045/1,1,0,0,0,0,1,0,1,0,0,0,0,1
   model LTM 1050-3.1,2,0,0,1,1,0,0,2,0,0,0,1,1
   model LTM 1050/1,1,0,0,0,0,0,1,1,0,0,0,0,1
   model LTM 1055-3.1,1,0,0,0,1,0,0,1,0,0,0,0,1
   model LTM 1060,1,0,0,0,0,0,1,1,0,0,0,0,1
   model LTM 1070/1,3,0,0,0,0,0,3,3,0,0,0,0,3
   model LTM 1090,2,0,0,0,0,1,1,2,0,0,0,0,2
   model LTM 1090-4.1,3,0,0,0,3,0,0,3,0,0,0,0,3
   model LTM 1090-4.2,1,1,0,0,0,0,0,1,0,1,0,0,0
   model LTM 1100-5.2,4,0,2,2,0,0,0,4,0,2,0,2,0
   model LTM 1100/2,1,0,0,0,0,1,0,1,0,0,0,0,1
   model LTM 1130-5.1,2,2,0,0,0,0,0,2,0,2,0,0,0
   model LTM 1160-2,1,0,0,0,0,1,0,1,0,0,0,0,1
   model LTM 1160-5.2,1,0,1,0,0,0,0,1,0,1,0,0,0
   model LTM 1200-5.1,1,0,1,0,0,0,0,1,0,1,0,0,0
   model LTM 1200-51,1,0,0,0,1,0,0,1,0,0,0,1,0
   model LTM 1250-5.1,1,0,1,0,0,0,0,1,0,1,0,0,0
   model LTM 1250-6.1,1,0,0,1,0,0,0,1,0,0,1,0,0
   model LTM 1350-6.1,1,0,1,0,0,0,0,1,0,1,0,0,0
   model LTM1025,1,0,0,0,0,0,1,1,0,0,0,0,1
   model LTM1030-2,1,0,0,0,0,0,1,1,0,0,0,0,1
   model LTM1030-2.1,2,0,2,0,0,0,0,2,0,1,1,0,0
   model LTM1030/2,5,0,0,0,1,2,2,5,0,0,0,0,5
   model LTM1035,2,0,0,0,0,0,2,2,0,0,0,0,2
   model LTM1040,1,0,0,0,0,0,1,1,0,0,0,0,1
   model LTM1040-2.1,6,1,2,3,0,0,0,6,0,3,2,1,0
   model LTM1040/1,1,0,0,0,0,1,0,1,0,0,0,0,1
   model LTM1045-3.1,1,0,0,0,0,1,0,1,0,0,0,0,1
   model LTM1045/1,3,0,0,0,0,3,0,3,0,0,0,0,3
   model LTM1050-3.1,1,0,0,1,0,0,0,1,0,0,1,0,0
   model LTM1055-3.1,2,0,0,0,2,0,0,2,0,0,0,0,2
   model LTM1060/2,3,0,0,0,0,3,0,3,0,0,0,0,3
   model LTM1070-4.2,2,0,1,1,0,0,0,2,0,1,1,0,0
   model LTM1090-4.1,1,0,1,0,0,0,0,1,0,0,1,0,0
   model LTM1095-5.1,1,0,0,0,1,0,0,1,0,0,0,0,1
   model LTM1100-4.1,1,0,0,0,1,0,0,1,0,0,0,0,1
   model LTM1100-4.2,2,0,0,2,0,0,0,2,0,0,2,0,0
   model LTM1100-5.2,1,0,0,1,0,0,0,1,0,0,1,0,0
   model LTM1100/2,1,0,0,0,0,1,0,1,0,0,0,0,1
   model LTM1220/5.2,1,0,0,0,1,0,0,1,0,0,0,1,0
   model LTM140/1,1,0,0,0,0,0,1,1,0,0,0,0,1
   model LTM1750-9.1,1,1,0,0,0,0,0,1,0,1,0,0,0
   model MOBILKRAN,1,0,0,0,0,1,0,1,0,0,0,0,1
   model UMK363,1,0,0,0,1,0,0,1,0,0,0,1,0
   model UTM 625,2,0,0,0,0,2,0,2,0,0,0,0,2
   model UTM 730,1,0,0,0,0,1,0,1,0,0,0,0,1
   model UTM1025,1,0,0,0,0,0,1,1,0,0,0,0,1
   model UTM1053/3,1,0,0,0,0,0,1,1,0,0,0,0,1
   model UTM550,1,0,0,0,0,0,1,1,0,0,0,0,1
   model UTM620,1,0,0,0,0,0,1,1,0,0,0,0,1
   model UTM625,4,0,0,0,0,3,1,4,0,0,0,0,4
   model UTM635,1,0,0,0,0,0,1,1,0,0,0,0,1
   model UTM725,3,0,0,0,3,0,0,3,0,0,0,3,0
   model UTM759,1,0,0,0,1,0,0,1,0,0,0,1,0
   model UTM765,2,0,0,0,2,0,0,2,0,0,0,2,0
   model UTM835,1,0,0,0,1,0,0,1,0,0,0,1,0
   model UTM850,1,0,0,0,1,0,0,1,0,0,0,1,0
   model UTM851,1,0,0,0,1,0,0,1,0,0,0,1,0
   model UTM880,1,0,0,0,1,0,0,1,0,0,0,1,0
   model nespecificat,113,1,4,7,44,22,35,113,0,3,8,16,86
 total marca LINCOLN,8,0,0,0,1,5,2,0,8,0,0,0,8
   model EXC,1,0,0,0,0,1,0,0,1,0,0,0,1
   model nespecificat,7,0,0,0,1,4,2,0,7,0,0,0,7
 total marca LMC,5,4,0,0,1,0,0,5,0,4,0,1,0
   model A714,1,1,0,0,0,0,0,1,0,1,0,0,0
   model EXPLORER COMFORT I680,1,1,0,0,0,0,0,1,0,1,0,0,0
   model H733,1,1,0,0,0,0,0,1,0,1,0,0,0
   model I735,1,1,0,0,0,0,0,1,0,1,0,0,0
   model LIBERTY 654 TI,1,0,0,0,1,0,0,1,0,0,0,1,0
 total marca LOCATELLI,1,0,0,0,0,0,1,1,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,1,0,0,0,0,1
 total marca LUNA,5,0,0,0,0,0,5,5,0,0,0,0,5
   model GRUA MOVIL,2,0,0,0,0,0,2,2,0,0,0,0,2
   model nespecificat,3,0,0,0,0,0,3,3,0,0,0,0,3
 total marca M A N,9,0,0,1,1,3,4,9,0,0,0,1,8
   model 18.232,1,0,0,0,0,0,1,1,0,0,0,0,1
   model FE 310A,1,0,0,0,0,1,0,1,0,0,0,0,1
   model U 480,1,0,0,0,0,0,1,1,0,0,0,0,1
   model nespecificat,6,0,0,1,1,2,2,6,0,0,0,1,5
 total marca MACK,1,0,0,0,1,0,0,1,0,0,0,0,1
   model nespecificat,1,0,0,0,1,0,0,1,0,0,0,0,1
 total marca MAGDEBURG,3,0,0,0,0,0,3,3,0,0,0,0,3
   model nespecificat,3,0,0,0,0,0,3,3,0,0,0,0,3
 total marca MAGIRUS,47,0,0,0,0,0,47,47,0,0,0,0,47
   model 120D7,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 130D7,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 170 D 11 F,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 170D11,3,0,0,0,0,0,3,3,0,0,0,0,3
   model 170D11FA,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 192D11,5,0,0,0,0,0,5,5,0,0,0,0,5
   model 232D16,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 232D17,3,0,0,0,0,0,3,3,0,0,0,0,3
   model 256D14,1,0,0,0,0,0,1,1,0,0,0,0,1
   model A170D11,1,0,0,0,0,0,1,1,0,0,0,0,1
   model M170D15,1,0,0,0,0,0,1,1,0,0,0,0,1
   model nespecificat,28,0,0,0,0,0,28,28,0,0,0,0,28
 total marca MAGIRUS-DEUTZ,85,0,0,0,0,0,85,85,0,0,0,0,85
   model 120-19,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 130D9,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 160-8,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 170,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 170D11,5,0,0,0,0,0,5,5,0,0,0,0,5
   model 192D11,13,0,0,0,0,0,13,13,0,0,0,0,13
   model 192D13,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 256 D14,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 80.16,1,0,0,0,0,0,1,1,0,0,0,0,1
   model FM 192 D11F,1,0,0,0,0,0,1,1,0,0,0,0,1
   model MAGIRUS 150 D10,1,0,0,0,0,0,1,1,0,0,0,0,1
