MINISTERUL AFACERILOR INTERNE,,,,,,,,TOTAL,,,,,
DIRECTIA REGIM PERMISE DE CONDUCERE SI INMATRICULARE A VEHICULELOR,,,,,,,,,,,,,
PARC AUTO LA 31.12.2019,,,,,,,,,,,,,
CATEGORIA DE FOLOSINTA,Numar,Vechime (ani),,,,,,Carburant,,Vechime (ani),,,
,,0--2,3--5,6--10,11--15,16--20,>20,Motorina,Benzina,0--4,5--8,9--12,peste 12
   model nespecificat,5,0,0,0,0,0,5,5,0,0,0,0,5
 total marca DAC,449,0,0,0,0,0,449,449,0,0,0,0,449
   model nespecificat,449,0,0,0,0,0,449,449,0,0,0,0,449
 total marca DAEWOO,13,0,0,10,0,0,3,13,0,0,0,10,3
   model nespecificat,13,0,0,10,0,0,3,13,0,0,0,10,3
 total marca DAF,252,0,0,0,0,108,144,252,0,0,0,0,252
   model ALLIANCE INTERCITY,1,0,0,0,0,0,1,1,0,0,0,0,1
   model AMBASSADOR 200,1,0,0,0,0,1,0,1,0,0,0,0,1
   model ATLANTIS,1,0,0,0,0,1,0,1,0,0,0,0,1
   model ATLAS,1,0,0,0,0,0,1,1,0,0,0,0,1
   model AXIAL 70,2,0,0,0,0,0,2,2,0,0,0,0,2
   model BERKHOF,20,0,0,0,0,1,19,20,0,0,0,0,20
   model BERKHOF JONCKHEER,13,0,0,0,0,9,4,13,0,0,0,0,13
   model COMMANDER,40,0,0,0,0,40,0,40,0,0,0,0,40
   model EUROSTAR,1,0,0,0,0,1,0,1,0,0,0,0,1
   model EUROSTAR'E,1,0,0,0,0,1,0,1,0,0,0,0,1
   model EXCELENCE 1000E,1,0,0,0,0,0,1,1,0,0,0,0,1
   model EXCELLANCE 1000,1,0,0,0,0,0,1,1,0,0,0,0,1
   model EXCELLENCE 1000L,1,0,0,0,0,0,1,1,0,0,0,0,1
   model GRAND LUX,1,0,0,0,0,0,1,1,0,0,0,0,1
   model IRIZAR,3,0,0,0,0,3,0,3,0,0,0,0,3
   model JONCKHEERE,2,0,0,0,0,0,2,2,0,0,0,0,2
   model LT575,4,0,0,0,0,0,4,4,0,0,0,0,4
   model MISTRAL 70,1,0,0,0,0,1,0,1,0,0,0,0,1
   model ORION,1,0,0,0,0,0,1,1,0,0,0,0,1
   model SB 3000 WS,1,0,0,0,0,0,1,1,0,0,0,0,1
   model SB220,1,0,0,0,0,0,1,1,0,0,0,0,1
   model SB250,1,0,0,0,0,1,0,1,0,0,0,0,1
   model SB3000,2,0,0,0,0,0,2,2,0,0,0,0,2
   model SB3000ATI,1,0,0,0,0,0,1,1,0,0,0,0,1
   model SB4000,1,0,0,0,0,1,0,1,0,0,0,0,1
   model SBR 3000,1,0,0,0,0,0,1,1,0,0,0,0,1
   model SBR3000,1,0,0,0,0,0,1,1,0,0,0,0,1
   model SMIT,1,0,0,0,0,0,1,1,0,0,0,0,1
   model TOURING,3,0,0,0,0,0,3,3,0,0,0,0,3
   model VDL JONCKHEER,1,0,0,0,0,1,0,1,0,0,0,0,1
   model VIAGGIO II 350,1,0,0,0,0,0,1,1,0,0,0,0,1
   model nespecificat,141,0,0,0,0,47,94,141,0,0,0,0,141
 total marca DE SIMON,5,0,0,0,0,0,5,5,0,0,0,0,5
   model nespecificat,5,0,0,0,0,0,5,5,0,0,0,0,5
 total marca DEN OUDSTEN,115,0,0,0,0,30,85,115,0,0,0,0,115
   model ALLIACE CITY,6,0,0,0,0,0,6,6,0,0,0,0,6
   model ALLIANCE CITY,91,0,0,0,0,30,61,91,0,0,0,0,91
   model ALLIANCE INTERCITY,12,0,0,0,0,0,12,12,0,0,0,0,12
   model LIJN,1,0,0,0,0,0,1,1,0,0,0,0,1
   model nespecificat,5,0,0,0,0,0,5,5,0,0,0,0,5
